epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1949.02,1.83242,1.05605,0.00492,0.95846,0.91522,0.95539,0.59497,1.20565,0.91158,0.00484,0.000998814,0.000332938,0.000998814,0.000332938,0.067705,0.0670391,0.000998814,0.000332938
2,3714.96,1.76613,0.98233,0.00467,0.95612,0.93182,0.95998,0.58366,1.25564,0.83926,0.00532,0.00199686,0.00066562,0.00199686,0.00066562,0.0353697,0.0340385,0.00199686,0.00066562
3,5063.69,1.72595,0.97399,0.00456,0.96052,0.92149,0.9585,0.59521,1.22651,1.00964,0.00511,0.00298711,0.000995703,0.00298711,0.000995703,0.00302665,0.00103524,0.00298711,0.000995703
4,5857.56,1.73256,0.99471,0.00464,0.93905,0.9166,0.95486,0.60724,1.1653,1.30685,0.00491,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
5,6675.07,1.71655,0.98336,0.00459,0.94577,0.90954,0.94649,0.59054,1.20839,1.19608,0.00493,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
6,7474.34,1.69985,0.97667,0.00458,0.9548,0.91154,0.95558,0.59535,1.22307,1.0105,0.00541,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
7,8246.44,1.69945,0.96704,0.00454,0.94265,0.90664,0.95035,0.58492,1.22599,1.30327,0.00518,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239
8,9028.77,1.69203,0.9681,0.00441,0.95084,0.92233,0.95866,0.61819,1.1365,0.74382,0.00455,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889
9,9811,1.69797,0.97943,0.00463,0.95522,0.91132,0.95809,0.59333,1.2088,0.91703,0.00482,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772
10,10590.3,1.68382,0.94779,0.00446,0.93384,0.91622,0.95078,0.60215,1.17812,1.15455,0.00472,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942
