epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,11366.7,1.68651,0.94993,0.00451,0.95597,0.91424,0.95975,0.59703,1.21263,0.74287,0.00504,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
12,12143.8,1.67852,0.94663,0.00447,0.95651,0.91176,0.9584,0.61656,1.15991,0.86202,0.00482,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404
13,12924.9,1.67409,0.9484,0.0044,0.95527,0.91365,0.95419,0.60719,1.17256,0.83242,0.0047,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839
14,13702.9,1.65552,0.92526,0.00439,0.9543,0.91043,0.95543,0.60929,1.18658,0.82167,0.005,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851
15,14485.3,1.65967,0.93507,0.00438,0.94918,0.91971,0.95498,0.60996,1.16207,0.83567,0.00495,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525
16,15263.4,1.66512,0.93764,0.00447,0.9555,0.92848,0.96173,0.60896,1.16366,0.70177,0.00464,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
17,16044.3,1.65279,0.91352,0.00437,0.95821,0.91968,0.95944,0.6172,1.1446,0.67611,0.00452,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234
18,16830.3,1.64932,0.89969,0.00425,0.96625,0.91236,0.96089,0.62724,1.12104,0.59682,0.00454,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468
19,17626.1,1.64473,0.89592,0.00437,0.95948,0.90931,0.95421,0.61651,1.15819,0.68829,0.00496,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761
20,18400.6,1.64519,0.89646,0.00432,0.95753,0.91923,0.95535,0.611,1.16842,0.75824,0.00492,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222
21,19174.7,1.63439,0.87627,0.00423,0.94196,0.9102,0.95727,0.61375,1.15617,0.77592,0.00486,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963
22,19948.8,1.63422,0.8934,0.00422,0.95745,0.93252,0.96419,0.61615,1.15923,0.78292,0.00461,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101
23,20738.4,1.62279,0.88901,0.00421,0.97218,0.91886,0.96423,0.62613,1.12545,0.61548,0.00457,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754
24,21521.5,1.61888,0.88775,0.00427,0.97164,0.9209,0.96291,0.62354,1.14135,0.59972,0.00466,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704
25,22302.5,1.61491,0.86863,0.00413,0.96395,0.92343,0.96057,0.62458,1.12504,0.65237,0.00441,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081
26,23083.4,1.61003,0.86911,0.00418,0.96621,0.93656,0.96692,0.62505,1.13241,0.60722,0.00446,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,23863.2,1.60376,0.86239,0.00417,0.96013,0.93717,0.96288,0.62082,1.13371,0.65051,0.00459,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919
28,24643.7,1.60523,0.85762,0.00412,0.96901,0.92536,0.96373,0.62691,1.1127,0.62938,0.00442,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296
29,25424.5,1.59126,0.85156,0.00407,0.96456,0.92848,0.967,0.62783,1.11525,0.64901,0.00441,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246
30,26210.6,1.59539,0.84835,0.00408,0.95935,0.93471,0.96607,0.62937,1.10843,0.66928,0.00428,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899
31,26989.5,1.58238,0.85092,0.0041,0.95836,0.93182,0.96532,0.62518,1.12439,0.6559,0.00448,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037
32,27767.5,1.57219,0.83949,0.00402,0.95737,0.93065,0.96425,0.62759,1.1145,0.64112,0.00443,0.000968335,0.000322778,0.000968335,0.000322778,0.000968335,0.000322778,0.000968335,0.000322778
33,28543.2,1.58275,0.84023,0.00402,0.96533,0.93382,0.96671,0.6317,1.1095,0.64881,0.00435,0.000882718,0.000294239,0.000882718,0.000294239,0.000882718,0.000294239,0.000882718,0.000294239
34,29316,1.57217,0.84013,0.00395,0.96878,0.93338,0.96729,0.63167,1.10766,0.61286,0.00433,0.000799596,0.000266532,0.000799596,0.000266532,0.000799596,0.000266532,0.000799596,0.000266532
35,30092.9,1.57143,0.84059,0.00403,0.96548,0.9349,0.96624,0.63153,1.10558,0.57236,0.00446,0.000719297,0.000239766,0.000719297,0.000239766,0.000719297,0.000239766,0.000719297,0.000239766
36,30742.1,1.4658,0.68406,0.00395,0.96415,0.92914,0.96163,0.62844,1.11566,0.59223,0.0045,0.000642139,0.000214046,0.000642139,0.000214046,0.000642139,0.000214046,0.000642139,0.000214046
37,31394.7,1.45055,0.65934,0.00388,0.96453,0.92698,0.96252,0.62685,1.11784,0.56935,0.00441,0.000568425,0.000189475,0.000568425,0.000189475,0.000568425,0.000189475,0.000568425,0.000189475
38,32042.8,1.43377,0.63955,0.00388,0.95487,0.93427,0.96283,0.62937,1.10983,0.53483,0.00445,0.000498448,0.000166149,0.000498448,0.000166149,0.000498448,0.000166149,0.000498448,0.000166149
39,32704.1,1.43099,0.65053,0.00378,0.96489,0.92335,0.96238,0.62685,1.10528,0.53091,0.00439,0.000432482,0.000144161,0.000432482,0.000144161,0.000432482,0.000144161,0.000432482,0.000144161
40,33479.4,1.42067,0.6453,0.00379,0.96724,0.92762,0.96339,0.62998,1.1125,0.52151,0.00441,0.000370788,0.000123596,0.000370788,0.000123596,0.000370788,0.000123596,0.000370788,0.000123596
41,34207.5,1.41951,0.64059,0.00381,0.96722,0.92268,0.9628,0.62941,1.11137,0.52556,0.00439,0.00031361,0.000104537,0.00031361,0.000104537,0.00031361,0.000104537,0.00031361,0.000104537
42,34921.2,1.41745,0.62924,0.00375,0.96964,0.92525,0.96372,0.63081,1.10916,0.50163,0.00436,0.000261173,8.70577e-05,0.000261173,8.70577e-05,0.000261173,8.70577e-05,0.000261173,8.70577e-05
43,35638.4,1.41427,0.6392,0.00377,0.96822,0.93007,0.96439,0.63118,1.10913,0.50317,0.00438,0.000213685,7.12282e-05,0.000213685,7.12282e-05,0.000213685,7.12282e-05,0.000213685,7.12282e-05
44,36338.6,1.41269,0.62677,0.00374,0.96994,0.92758,0.96718,0.63424,1.10251,0.51033,0.00434,0.000171332,5.71106e-05,0.000171332,5.71106e-05,0.000171332,5.71106e-05,0.000171332,5.71106e-05
45,37047.6,1.40271,0.62242,0.00367,0.96456,0.93471,0.96504,0.63393,1.09959,0.51519,0.00434,0.000134282,4.47606e-05,0.000134282,4.47606e-05,0.000134282,4.47606e-05,0.000134282,4.47606e-05
46,37763,1.40709,0.61538,0.00374,0.96285,0.93516,0.96448,0.6342,1.09949,0.50895,0.00432,0.000102681,3.4227e-05,0.000102681,3.4227e-05,0.000102681,3.4227e-05,0.000102681,3.4227e-05
47,38598.1,1.39373,0.61839,0.00367,0.96745,0.93386,0.96504,0.6345,1.10107,0.50324,0.00431,7.6654e-05,2.55513e-05,7.6654e-05,2.55513e-05,7.6654e-05,2.55513e-05,7.6654e-05,2.55513e-05
48,39844.3,1.40084,0.61631,0.00367,0.9652,0.93293,0.96477,0.63407,1.10186,0.50648,0.0043,5.63034e-05,1.87678e-05,5.63034e-05,1.87678e-05,5.63034e-05,1.87678e-05,5.63034e-05,1.87678e-05
49,40814.5,1.40188,0.61862,0.00367,0.96613,0.9316,0.96481,0.63362,1.10116,0.51115,0.00429,4.17097e-05,1.39032e-05,4.17097e-05,1.39032e-05,4.17097e-05,1.39032e-05,4.17097e-05,1.39032e-05
50,41785.3,1.40313,0.60888,0.00376,0.96717,0.9322,0.96488,0.63379,1.10223,0.51736,0.0043,3.29303e-05,1.09768e-05,3.29303e-05,1.09768e-05,3.29303e-05,1.09768e-05,3.29303e-05,1.09768e-05
